Date;Variation
01/2020;0.19
02/2020;0.17
03/2020;0.18
04/2020;-0.23
05/2020;-0.25
06/2020;0.30
07/2020;0.44
08/2020;0.36
09/2020;0.87
10/2020;0.89
11/2020;0.95
12/2020;1.46
01/2021;0.27
02/2021;0.82
03/2021;0.86
04/2021;0.38
05/2021;0.96
06/2021;0.60
07/2021;1.02
08/2021;0.88
09/2021;1.20
10/2021;1.16
11/2021;0.84
12/2021;0.73
01/2022;0.67
02/2022;1.00
03/2022;1.71
04/2022;1.04
05/2022;0.45
06/2022;0.62
07/2022;-0.60
08/2022;-0.31
09/2022;-0.32
10/2022;0.47
11/2022;0.38
12/2022;0.69
01/2023;0.46
02/2023;0.77
03/2023;0.64
04/2023;0.53
05/2023;0.36
06/2023;-0.10
07/2023;-0.09
08/2023;0.20
09/2023;0.11
10/2023;0.12
